CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,Yes,No,26,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,32.46,838.5,1
CUST0002,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,73.26,2927.65,0
CUST0003,Male,1,Yes,No,65,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,103.22,6719.26,1
CUST0004,Male,0,No,No,62,Yes,No phone service,DSL,No,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card,85.91,5327.66,0
CUST0005,Male,1,Yes,No,18,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,93.89,1691.71,0
CUST0006,Male,0,No,Yes,21,Yes,No,DSL,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,23.03,477.95,0
CUST0007,Male,0,No,No,60,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No,No,One year,Yes,Credit card,75.57,4540.55,1
CUST0008,Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,48.22,3269.07,0
CUST0009,Female,1,Yes,No,22,No,No,No,Yes,No,Yes,No,No internet service,Yes,One year,No,Mailed check,110.92,2443.32,0
CUST0010,Male,0,No,Yes,43,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,57.32,2462.43,0
CUST0011,Female,0,No,Yes,27,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,46.12,1248.13,0
CUST0012,Female,1,No,No,24,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,116.78,2797.96,0
CUST0013,Male,1,Yes,Yes,47,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card,56.78,2676.13,1
CUST0014,Female,0,No,No,68,Yes,No phone service,DSL,Yes,No,No,Yes,No,No internet service,One year,No,Bank transfer,54.61,3714.21,0
CUST0015,Male,0,Yes,No,11,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.37,483.92,1
CUST0016,Female,0,No,Yes,25,Yes,No phone service,No,No,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,111.95,2798.95,1
CUST0017,Male,0,Yes,Yes,54,Yes,Yes,No,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,25.48,1381.86,0
CUST0018,Female,1,No,Yes,39,Yes,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card,48.92,1915.57,0
CUST0019,Female,0,Yes,No,25,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.65,2323.13,0
CUST0020,Male,0,No,No,71,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,89.77,6380.84,1
CUST0021,Male,0,No,Yes,16,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,55.42,893.89,1
CUST0022,Male,0,No,No,56,Yes,Yes,No,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Bank transfer,35.16,1962.6,0
CUST0023,Female,1,Yes,No,41,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,79.54,3263.98,1
CUST0024,Female,0,No,No,39,Yes,No,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,50.22,1953.66,0
CUST0025,Female,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card,110.28,5402.94,0
CUST0026,Male,0,Yes,Yes,34,Yes,No phone service,DSL,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card,24.21,831.83,0
